region,fed_district,pb_count_sum,elites,inst_qual_17,pr_quan_avg,budg_bal_avg,cbf_budg_tr_share_avg,soc_sp_pc_ria_avg,tci_avg,hdi_16,total_eff,pb_count_mean,project_cost_tot,project_cost_mean,covid_kk_avg,pop_avg,area,bur_ov_avg,ethnic_rus,public_ent_share,ict_sp_avg,corrupt,pb_count_19,pb_count_20,pb_count_21,project_cost_19,project_cost_20,project_cost_21,budg_bal_19,budg_bal_20,budg_bal_21,cbf_budg_tr_share_19,cbf_budg_tr_share_20,cbf_budg_tr_share_21,soc_sp_pc_ria_19,soc_sp_pc_ria_20,soc_sp_pc_ria_21,tci_19,tci_20,tci_21
Adygea,Southern,13,2,12.8,1.0,-1.909,37.76,52895.0,33.346,83.2,52.8,4.333,17059314.0,5260300.667,1220.0,463.0,7.8,3689.5,63.64,16.456,327.267,2,4,9,0,5233541.0,10547361.0,0.0,-1.583,-2.235,-2.459,34.743,40.778,44.855,46720.0,51392.0,59070.0,33.649,33.043,36.347
Altai_K,Siberian,61,3,1.9,4.444,2.102,32.477,47845.0,46.277,83.5,60.6,20.333,62725145.0,20908381.667,8634.5,2306.5,168.0,15803.5,93.93,10.712,1161.633,3,6,24,31,8062990.0,21756070.0,32906085.0,0.348,3.855,4.241,29.855,35.099,38.609,41370.0,45507.0,54320.0,45.843,46.71,51.381
Altai_R,Siberian,7,2,19.2,,0.325,55.905,47875.0,38.147,82.4,46.1,2.333,7999397.0,2666465.667,524.5,220.5,92.9,2572.5,56.63,17.241,344.133,2,0,4,3,0.0,6372903.0,1626494.0,2.695,-2.046,-2.25,56.604,55.206,60.727,42000.0,46200.0,53750.0,32.342,43.951,48.346
Amur,Far Eastern,42,3,8.6,4.143,4.2,11.733,55600.0,47.331,84.0,60.7,14.0,68577947.0,22859315.667,2812.5,786.0,361.9,7495.0,94.33,15.216,491.1,3,4,20,18,5889158.0,27063018.0,35625771.0,6.396,2.004,2.204,10.305,13.161,14.477,44350.0,48785.0,66850.0,40.069,54.592,60.052
Arkhangelsk,Northwestern,4,4,7.7,5.111,-4.866,20.871,47740.0,56.712,85.7,35.6,1.333,2996720.0,998906.667,3693.5,1087.5,413.1,9833.5,93.58,11.518,1201.6,3,2,2,0,2912700.0,84020.0,0.0,3.607,-13.34,-14.674,15.001,26.741,29.415,40570.0,44627.0,54910.0,56.427,56.997,62.697
Astrakhan,Southern,1,3,4.8,6.25,2.751,19.094,55775.0,66.316,86.9,62.0,0.333,824344.0,274781.333,3774.0,1002.0,49.0,6023.0,67.57,12.576,362.8,2,0,0,1,0.0,0.0,824344.0,8.311,-2.809,-3.09,13.13,25.057,27.563,46820.0,51502.0,64730.0,61.159,71.473,78.62
Bashkortostan,Volga,172,3,5.8,5.375,-10.546,18.458,47905.0,50.184,85.9,69.1,57.333,200066150.0,66688716.667,15499.5,4026.0,142.9,21445.5,36.05,10.019,2145.833,2,41,66,65,51003825.0,67717224.0,81345101.0,-6.813,-14.279,-15.707,13.146,23.77,26.147,43410.0,47751.0,52400.0,54.165,46.203,50.823
Belgorod,Central,9,2,3.8,1.0,-0.295,12.043,64995.0,43.644,89.6,73.6,3.0,23854401.0,7951467.0,5740.5,1545.0,27.1,9856.0,94.37,9.807,1292.733,3,0,0,9,0.0,0.0,23854401.0,-0.772,0.182,0.2,9.681,14.406,15.846,54690.0,60159.0,75300.0,42.952,44.336,48.77
Bryansk,Central,6,2,1.9,2.333,1.345,29.2,48310.0,46.578,83.9,59.0,2.0,12047448.0,4015816.0,4727.5,1188.0,34.9,8394.0,96.7,17.16,375.0,2,2,2,2,6439342.0,3274979.0,2333127.0,1.306,1.384,1.522,27.41,30.991,34.09,40290.0,44319.0,56330.0,42.341,50.816,55.897
Buryatia,Far Eastern,13,3,2.9,1.875,-1.324,41.888,54295.0,46.163,82.6,43.1,4.333,5812343.0,1937447.667,2192.5,986.0,351.3,7144.5,66.05,14.21,629.5,3,0,0,13,0.0,0.0,5812343.0,-0.604,-2.045,-2.249,39.177,44.599,49.059,45870.0,50457.0,62720.0,45.078,47.249,51.974
