,project_id,year,category,region,address_rus,description_rus,project_cost,fund_region,fund_municipality,fund_citizens,fund_business,initiative_group,assembly_participants,beneficiaries
0,465,2017,Children's playgrounds,Kaluga,"Россия, Калужская область, Козельский район, Сосенский, улица Космонавтов, 1А",Обустройство игровых площадок на придомовой территории,1018330.0,957231.0,50916.0,10183.0,0.0,4,142,6000
1,4775,2020,Housing and utilities,Moscow_O,"Россия, Московская область",теплоснабжение села Ромашково,0.0,0.0,0.0,0.0,0.0,3,100,20
2,4782,2019,Physical education and mass sports,Saratov,"Россия, Саратовская область, Романовский район, село Большой Карай",«Приобретение и установка универсальной спортивной площадки в   с. Большой Карай Большекарайского муниципального образования Романовского муниципального района Саратовской области»,1130900.0,936400.0,114000.0,39000.0,41500.0,5,109,526
3,4785,2018,"Water supply, wastewater disposal",Saratov,"Россия, Саратовская область, Романовский район, село Большой Карай","""Обеспечение Большекарайского муниципального образования питьевой водой""",870200.0,720200.0,100000.0,30000.0,20000.0,5,138,1341
4,4786,2019,Public recreational facilities and beautification,Novgorod,"Россия, Новгородская область, Старорусский район, Взвадское сельское поселение","Модернизация светильников уличного освещения (замена действующих светильников на светодиодные лампы) и благоустройство территории, прилегающей к линии электропередач  («Увидеть каждый будет рад весь в фонарях наш светлый Взвад»)",913000.0,700000.0,100000.0,40000.0,73000.0,7,75,900
5,4788,2019,Public recreational facilities and beautification,Novgorod,"Россия, Новгородская область, Старорусский район, Медниковское сельское поселение, деревня Медниково, Молодёжная улица, 1А","Благоустройство зоны отдыха у спортивной площадки ""Поле чудес"" (I этап)",1041000.0,700000.0,210000.0,105000.0,26000.0,8,162,1323
6,4789,2019,Roads,Kirov,"Россия, Кировская область, Арбажский район, село Сорвижи","«От Храма к берегу реки», ремонт проезжей части, с. Сорвижи, Кировская область",1238274.0,790000.0,62000.0,196274.0,190000.0,4,309,779
7,4790,2019,Roads,Kirov,"Россия, Кировская область, Афанасьевский район, деревня Слобода","Ремонт дороги по ул. Филенская, дер. Слобода, Кировская область",690861.0,420861.0,130000.0,110000.0,30000.0,6,58,175
8,4791,2019,Roads,Kirov,"Россия, Кировская область, Афанасьевский район, деревня Архипята","Ремонт участков дорог, дер. Архипята, Кировская область",690615.0,420615.0,135000.0,95000.0,40000.0,7,23,223
9,4792,2019,Cultural objects,Novgorod,"Россия, Новгородская область, Старорусский район, Наговское сельское поселение, деревня Бакочино, 9",Ремонт Бакочинского СДК и благоустройство территории,1777400.0,700000.0,872400.0,105000.0,100000.0,6,68,955
10,4793,2019,Cultural objects,Kirov,"Россия, Кировская область, Белохолуницкий район, село Сырьяны","Ремонт памятника воинам-землякам, погибшим в годы ВОВ 1941 - 1945 годов, с. Сырьяны, Кировская область",154062.0,107080.0,15482.0,15500.0,16000.0,5,278,402
11,4794,2019,Roads,Kirov,"Россия, Кировская область, Даровской район, посёлок городского типа Даровской","Ремонт участка автомобильной дороги по ул. Зеленая от моста через реку Кобра, пгт Даровской, Кировская область",4453197.0,1500000.0,2100000.0,393197.0,460000.0,9,3067,5065
12,4795,2019,Public recreational facilities and beautification,Kirov,"Россия, Кировская область, Белохолуницкий район, село Полом","Установка светодиодных светильников для уличного освещения, с. Полом, Кировская область",326391.0,221391.0,20000.0,60000.0,25000.0,5,224,669
